,Geographic Area,City,Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
0,AL,Abanda,11207.0,78.8,21.2,67.2,30.2,0.0,0.0,1.6
1,AL,Abbeville,25615.0,29.1,69.1,54.4,41.4,0.1,1.0,3.1
2,AL,Adamsville,42575.0,25.5,78.9,52.3,44.9,0.5,0.3,2.3
3,AL,Addison,37083.0,30.7,81.4,99.1,0.1,0.0,0.1,0.4
4,AL,Akron,21667.0,42.0,68.6,13.2,86.5,0.0,0.0,0.3
5,AL,Alabaster,71816.0,11.2,89.3,79.4,13.5,0.4,0.9,9.0
6,AL,Albertville,32911.0,26.7,72.7,75.9,1.9,0.8,0.5,27.9
7,AL,Alexander City,29874.0,30.4,78.1,62.2,32.0,0.2,0.9,4.8
8,AL,Alexandria,56058.0,9.7,88.8,87.4,10.2,0.3,0.5,0.9
9,AL,Aliceville,21131.0,41.3,74.3,22.6,74.9,0.1,0.0,1.2
10,AL,Allgood,42009.0,27.7,48.1,79.6,0.6,0.3,0.6,49.4
11,AL,Altoona,27566.0,27.5,66.9,95.8,1.7,0.2,0.2,1.1
12,AL,Andalusia,31968.0,24.5,81.1,70.5,25.9,0.4,1.0,1.9
13,AL,Anderson,34792.0,13.8,85.7,97.9,0.0,0.4,0.0,0.7
14,AL,Anniston,29681.0,31.7,79.8,44.7,51.5,0.3,0.8,2.7
15,AL,Arab,40292.0,16.7,87.6,96.6,0.1,0.6,0.7,1.7
16,AL,Ardmore,35670.0,19.1,77.7,94.3,1.9,0.8,0.9,1.3
17,AL,Argo,57212.0,8.6,87.5,94.1,3.6,0.4,0.3,0.5
18,AL,Ariton,24286.0,37.6,71.3,78.3,19.2,0.0,0.1,6.0
19,AL,Arley,28750.0,31.6,80.6,94.4,0.0,0.6,0.3,1.4
20,AL,Ashford,42704.0,18.8,83.5,79.0,19.5,0.2,0.2,0.8
